PalashSetu Complete Hindi to Santali Word List
===============================================
Total entries: 7503
Hand-curated Hindi->Santali pairs: 7503
AI4Bharat model Ol Chiki tokens added: 0
AI4Bharat raw model tokens (Ol Chiki): 5448
Unique clean root words from model: 4597

Hindi/Phonetic Source               | Santali (Ol Chiki)          | Pronunciation (Devanagari)
----------------------------------------------------------------------------------------------------
-आ                                  | ᱼᱟ                             | -आ
-आग                                 | ᱼᱟᱜ                            | -आग
-आय                                 | ᱼᱟᱭ                            | -आय
-ए                                  | ᱼᱮ                             | -ए
-कअ                                 | ᱼᱠᱚ                            | -कअ
-ग                                  | ᱼᱜ                             | -ग
-ज                                  | ᱼᱡ                             | -ज
-प                                  | ᱼᱯ                             | -प
-पआ                                 | ᱼᱯᱟ                            | -पआ
-बआ                                 | ᱼᱵᱟ                            | -बआ
-म                                  | ᱼᱢ                             | -म
-मआ                                 | ᱼᱢᱟ                            | -मआ
-स                                  | ᱼᱥ                             | -स
-सउपउर                              | ᱼᱥᱩᱯᱩᱨ                         | -सउपउर
इजआ                                 | ᱤᱡᱟ                            | इजआ
इजइ                                 | ᱤᱡᱤ                            | इजइ
इजउ                                 | ᱤᱡᱩ                            | इजउ
इज्                                 | ᱤᱡᱽ                            | इज्
इञ                                  | ᱤᱧ                             | इञ
इञआग                                | ᱤᱧᱟᱜ                           | इञआग
इञजइनइय                             | ᱤᱧᱡᱤᱱᱤᱭ                        | इञजइनइय
इठ                                  | ᱤᱴ                             | इठ
इठअर                                | ᱤᱴᱚᱨ                           | इठअर
इठआर                                | ᱤᱴᱟᱨ                           | इठआर
इठआल                                | ᱤᱴᱟᱞ                           | इठआल
इठएक                                | ᱤᱴᱮᱠ                           | इठएक
इठएकनइक                             | ᱤᱴᱮᱠᱱᱤᱠ                        | इठएकनइक
इड                                  | ᱤᱰ                             | इड
इत                                  | ᱤᱛ                             | इत
इतआ                                 | ᱤᱛᱟ                            | इतआ
इतइ                                 | ᱤᱛᱤ                            | इतइ
इतउन                                | ᱤᱛᱩᱱ                           | इतउन
इतरअ                                | ᱤᱛᱨᱚ                           | इतरअ
इतह                                 | ᱤᱛᱷ                            | इतह
इद                                  | ᱤᱫ                             | इद
इदअ                                 | ᱤᱫᱚ                            | इदअ
इदआ                                 | ᱤᱫᱟ                            | इदआ
इदआबआद्                             | ᱤᱫᱟᱵᱟᱫᱽ                        | इदआबआद्
इदआस                                | ᱤᱫᱟᱥ                           | इदआस
इदआᱹ                                | ᱤᱫᱟᱹ                           | इदआᱹ
इदइ                                 | ᱤᱫᱤ                            | इदइ
इदइकआतए                             | ᱤᱫᱤᱠᱟᱛᱮ                        | इदइकआतए
इदइग                                | ᱤᱫᱤᱜ                           | इदइग
इदइय                                | ᱤᱫᱤᱭ                           | इदइय
इदइयआ                               | ᱤᱫᱤᱭᱟ                          | इदइयआ
इदइयएनआ                             | ᱤᱫᱤᱭᱮᱱᱟ                        | इदइयएनआ
इदहइ                                | ᱤᱫᱷᱤ                           | इदहइ
इद्                                 | ᱤᱫᱽ                            | इद्
इधर देखो                            | ᱱᱚᱛᱮ ᱧᱮᱞ ᱢᱮ                    | नअतए ञएल मए
इन                                  | ᱤᱱ                             | इन
इन वस्तुओं को गिनो और संख्या बताओ   | ᱱᱚᱣᱟ ᱡᱤᱱᱤᱥ ᱠᱚ ᱞᱮᱠᱷᱟᱭ ᱢᱮ ᱟᱨ ᱮᱞᱠᱷᱟ ᱞᱟᱹᱭ ᱢᱮ | नअवआ जइनइस कअ लएकहआय मए आर एलकहआ लआᱹय मए
इन सेबों को गिनो                    | ᱱᱚᱣᱟ ᱥᱮᱣ ᱠᱚ ᱞᱮᱠᱷᱟᱭ ᱢᱮ          | नअवआ सएव कअ लएकहआय मए
इनआ                                 | ᱤᱱᱟ                            | इनआ
इनआग                                | ᱤᱱᱟᱜ                           | इनआग
इनआᱹ                                | ᱤᱱᱟᱹ                           | इनआᱹ
इनइ                                 | ᱤᱱᱤ                            | इनइ
इनइस                                | ᱤᱱᱤᱥ                           | इनइस
इनइसठ                               | ᱤᱱᱤᱥᱴ                          | इनइसठ
इनका                                | ᱱᱩᱠᱩᱣᱟᱜ                        | नउकउवआग
इनठ                                 | ᱤᱱᱴ                            | इनठ
इनठअर                               | ᱤᱱᱴᱚᱨ                          | इनठअर
इनठआर                               | ᱤᱱᱴᱟᱨ                          | इनठआर
इनड                                 | ᱤᱱᱰ                            | इनड
इनडआसठ                              | ᱤᱱᱰᱟᱥᱴ                         | इनडआसठ
इनडइ                                | ᱤᱱᱰᱤ                           | इनडइ
इनडइयआ                              | ᱤᱱᱰᱤᱭᱟ                         | इनडइयआ
इनडइयआन                             | ᱤᱱᱰᱤᱭᱟᱱ                        | इनडइयआन
इनद                                 | ᱤᱱᱫ                            | इनद
इनदअर                               | ᱤᱱᱫᱚᱨ                          | इनदअर
इनदइरआ                              | ᱤᱱᱫᱤᱨᱟ                         | इनदइरआ
इनदओ                                | ᱤᱱᱫᱳ                           | इनदओ
इनदओ-                               | ᱤᱱᱫᱳᱼ                          | इनदओ-
इनदओनएसइयआ                          | ᱤᱱᱫᱳᱱᱮᱥᱤᱭᱟ                     | इनदओनएसइयआ
इनपह                                | ᱤᱱᱯᱷ                           | इनपह
इनस                                 | ᱤᱱᱥ                            | इनस
इनसठइ                               | ᱤᱱᱥᱴᱤ                          | इनसठइ
इनसठइठ                              | ᱤᱱᱥᱴᱤᱴ                         | इनसठइठ
इप                                  | ᱤᱯ                             | इप
इपइ                                 | ᱤᱯᱤ                            | इपइ
इपइल                                | ᱤᱯᱤᱞ                           | इपइल
इपउ                                 | ᱤᱯᱩ                            | इपउ
इपउर                                | ᱤᱯᱩᱨ                           | इपउर
इपउरइ                               | ᱤᱯᱩᱨᱤ                          | इपउरइ
इपह                                 | ᱤᱯᱷ                            | इपह
इबह                                 | ᱤᱵᱷ                            | इबह
इब्                                 | ᱤᱵᱽ                            | इब्
इम                                  | ᱤᱢ                             | इम
इमली                                | ᱡᱚᱡᱚ                           | जअजअ
इय                                  | ᱤᱭ                             | इय
इयअ                                 | ᱤᱭᱚ                            | इयअ
इयअन                                | ᱤᱭᱚᱱ                           | इयअन
इयअम                                | ᱤᱭᱚᱢ                           | इयअम
इयअर                                | ᱤᱭᱚᱨ                           | इयअर
इयअस                                | ᱤᱭᱚᱥ                           | इयअस
इयआ                                 | ᱤᱭᱟ                            | इयआ
इयआग                                | ᱤᱭᱟᱜ                           | इयआग
इयआन                                | ᱤᱭᱟᱱ                           | इयआन
इयआम                                | ᱤᱭᱟᱢ                           | इयआम
इयआर                                | ᱤᱭᱟᱨ                           | इयआर
इयआरइ                               | ᱤᱭᱟᱨᱤ                          | इयआरइ
इयआल                                | ᱤᱭᱟᱞ                           | इयआल
इयआᱹ                                | ᱤᱭᱟᱹ                           | इयआᱹ
इयआᱹय                               | ᱤᱭᱟᱹᱭ                          | इयआᱹय
इयआᱹर                               | ᱤᱭᱟᱹᱨ                          | इयआᱹर
इयआᱹरइ                              | ᱤᱭᱟᱹᱨᱤ                         | इयआᱹरइ
इयआᱹव                               | ᱤᱭᱟᱹᱣ                          | इयआᱹव
इयउ                                 | ᱤᱭᱩ                            | इयउ
इयउनइयअन                            | ᱤᱭᱩᱱᱤᱭᱚᱱ                       | इयउनइयअन
इयउर                                | ᱤᱭᱩᱨ                           | इयउर
इयए                                 | ᱤᱭᱮ                            | इयए
इयएठ                                | ᱤᱭᱮᱴ                           | इयएठ
इयएत                                | ᱤᱭᱮᱛ                           | इयएत
इयएसअन                              | ᱤᱭᱮᱥᱚᱱ                         | इयएसअन
इयओ                                 | ᱤᱭᱳ                            | इयओ
इर                                  | ᱤᱨ                             | इर
इरआ                                 | ᱤᱨᱟ                            | इरआ
इरआन                                | ᱤᱨᱟᱱ                           | इरआन
इरआम                                | ᱤᱨᱟᱢ                           | इरआम
इरआᱹल                               | ᱤᱨᱟᱹᱞ                          | इरआᱹल
इरइ                                 | ᱤᱨᱤ                            | इरइ
इरए                                 | ᱤᱨᱮ                            | इरए
इरएन                                | ᱤᱨᱮᱱ                           | इरएन
इल                                  | ᱤᱞ                             | इल
इलआ                                 | ᱤᱞᱟ                            | इलआ
इलआᱹकआ                              | ᱤᱞᱟᱹᱠᱟ                         | इलआᱹकआ
इलइ                                 | ᱤᱞᱤ                            | इलइ
इलइङ                                | ᱤᱞᱤᱝ                           | इलइङ
इलएकठ                               | ᱤᱞᱮᱠᱴ                          | इलएकठ
इव                                  | ᱤᱣ                             | इव
इस                                  | ᱤᱥ                             | इस
इसअन                                | ᱤᱥᱚᱱ                           | इसअन
इसआ                                 | ᱤᱥᱟ                            | इसआ
इसआᱹ                                | ᱤᱥᱟᱹ                           | इसआᱹ
इसआᱹय                               | ᱤᱥᱟᱹᱭ                          | इसआᱹय
इसइ                                 | ᱤᱥᱤ                            | इसइ
इसइन                                | ᱤᱥᱤᱱ                           | इसइन
इसइप                                | ᱤᱥᱤᱯ                           | इसइप
इसउ                                 | ᱤᱥᱩ                            | इसउ
इसकउल                               | ᱤᱥᱠᱩᱞ                          | इसकउल
इसका                                | ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ                     | नअवआ रएयआग
इसकी                                | ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ                     | नअवआ रएयआग
इसके                                | ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ                     | नअवआ रएयआग
इसको                                | ᱱᱚᱣᱟ                           | नअवआ
इसठ                                 | ᱤᱥᱴ                            | इसठ
इसतआन                               | ᱤᱥᱛᱟᱱ                          | इसतआन
इसतहआन                              | ᱤᱥᱛᱷᱟᱱ                         | इसतहआन
इसलआम                               | ᱤᱥᱞᱟᱢ                          | इसलआम
इसलिए                               | ᱚᱱᱟᱛᱮ                          | अनआतए
इसे                                 | ᱱᱚᱣᱟ                           | नअवआ
इह                                  | ᱤᱦ                             | इह
उं                                  | ᱩᱸ                             | उं
उंगलियाँ                            | ᱠᱟᱹᱴᱩᱵ ᱠᱚ                      | कआᱹठउब कअ
उंगली                               | ᱠᱟᱹᱴᱩᱵ                         | कआᱹठउब
उक                                  | ᱩᱠ                             | उक
उकआ                                 | ᱩᱠᱟ                            | उकआ
उकइल                                | ᱩᱠᱤᱞ                           | उकइल
उकउ                                 | ᱩᱠᱩ                            | उकउ
उकएसअन                              | ᱩᱠᱮᱥᱚᱱ                         | उकएसअन
उकतइ                                | ᱩᱠᱛᱤ                           | उकतइ
उकह                                 | ᱩᱠᱷ                            | उकह
उकहइ                                | ᱩᱠᱷᱤ                           | उकहइ
उग                                  | ᱚᱢᱚᱱ                           | अमअन
उग-आ                                | ᱩᱜᱼᱟ                           | उग-आ
उगअग                                | ᱩᱜᱚᱜ                           | उगअग
उगअड़                               | ᱩᱜᱚᱲ                           | उगअड़
उगइ                                 | ᱩᱜᱤ                            | उगइ
उगइए                                | ᱚᱢᱚᱱ ᱵᱤᱱ                       | अमअन बइन
उगई                                 | ᱚᱢᱚᱱ ᱠᱮᱫᱼᱟ                     | अमअन कएद-आ
उगउ                                 | ᱩᱜᱩ                            | उगउ
उगए                                 | ᱚᱢᱚᱱ ᱠᱮᱫ ᱠᱚ                    | अमअन कएद कअ
उगएंगे                              | ᱚᱢᱚᱱᱼᱟᱵᱚ                       | अमअन-आबअ
उगएगा                               | ᱚᱢᱚᱱᱼᱟᱭ                        | अमअन-आय
उगएगी                               | ᱚᱢᱚᱱᱼᱟᱭ                        | अमअन-आय
उगओ                                 | ᱚᱢᱚᱱ ᱢᱮ                        | अमअन मए
उगकर                                | ᱚᱢᱚᱱ ᱠᱟᱛᱮ                      | अमअन कआतए
उगता                                | ᱚᱢᱚᱱᱜ                          | अमअनग
उगता है                             | ᱚᱢᱚᱱ ᱠᱟᱱᱟᱭ                     | अमअन कआनआय
उगती                                | ᱚᱢᱚᱱᱜ                          | अमअनग
उगती है                             | ᱚᱢᱚᱱ ᱠᱟᱱᱟᱭ                     | अमअन कआनआय
उगते                                | ᱚᱢᱚᱱᱜ ᱠᱚ                       | अमअनग कअ
उगते हैं                            | ᱚᱢᱚᱱ ᱠᱟᱱᱟᱠᱚ                    | अमअन कआनआकअ
उगना                                | ᱚᱢᱚᱱ                           | अमअन
उगने                                | ᱚᱢᱚᱱ ᱞᱟᱹᱜᱤᱫ                    | अमअन लआᱹगइद
उगया                                | ᱚᱢᱚᱱ ᱠᱮᱫᱼᱟ                     | अमअन कएद-आ
उगा                                 | ᱚᱢᱚᱱ                           | अमअन
उगाइए                               | ᱚᱢᱚᱱ ᱵᱤᱱ                       | अमअन बइन
उगाई                                | ᱚᱢᱚᱱ ᱠᱮᱫᱼᱟ                     | अमअन कएद-आ
उगाए                                | ᱚᱢᱚᱱ ᱠᱮᱫ ᱠᱚ                    | अमअन कएद कअ
उगाएंगे                             | ᱚᱢᱚᱱᱼᱟᱵᱚ                       | अमअन-आबअ
उगाएगा                              | ᱚᱢᱚᱱᱼᱟᱭ                        | अमअन-आय
उगाएगी                              | ᱚᱢᱚᱱᱼᱟᱭ                        | अमअन-आय
उगाओ                                | ᱚᱢᱚᱱ ᱢᱮ                        | अमअन मए
उगाकर                               | ᱚᱢᱚᱱ ᱠᱟᱛᱮ                      | अमअन कआतए
उगाता                               | ᱚᱢᱚᱱᱜ                          | अमअनग
उगाता है                            | ᱚᱢᱚᱱ ᱠᱟᱱᱟᱭ                     | अमअन कआनआय
उगाती                               | ᱚᱢᱚᱱᱜ                          | अमअनग
उगाती है                            | ᱚᱢᱚᱱ ᱠᱟᱱᱟᱭ                     | अमअन कआनआय
उगाते                               | ᱚᱢᱚᱱᱜ ᱠᱚ                       | अमअनग कअ
उगाते हैं                           | ᱚᱢᱚᱱ ᱠᱟᱱᱟᱠᱚ                    | अमअन कआनआकअ
उगाना                               | ᱚᱢᱚᱱ                           | अमअन
उगाने                               | ᱚᱢᱚᱱ ᱞᱟᱹᱜᱤᱫ                    | अमअन लआᱹगइद
उगाया                               | ᱚᱢᱚᱱ ᱠᱮᱫᱼᱟ                     | अमअन कएद-आ
उगाा                                | ᱚᱢᱚᱱ ᱠᱮᱫᱼᱟ                     | अमअन कएद-आ
उगाी                                | ᱚᱢᱚᱱ ᱠᱮᱫᱼᱟ                     | अमअन कएद-आ
उगाे                                | ᱚᱢᱚᱱ ᱠᱮᱫ ᱠᱚ                    | अमअन कएद कअ
उगी                                 | ᱚᱢᱚᱱ ᱠᱮᱫᱼᱟ                     | अमअन कएद-आ
उगे                                 | ᱚᱢᱚᱱ ᱠᱮᱫ ᱠᱚ                    | अमअन कएद कअ
उग्                                 | ᱩᱜᱽ                            | उग्
उग्लइ                               | ᱩᱜᱽᱞᱤ                          | उग्लइ
उङ                                  | ᱩᱝ                             | उङ
उङकउ                                | ᱩᱝᱠᱩ                           | उङकउ
उच                                  | ᱩᱪ                             | उच
उचआᱹड़                              | ᱩᱪᱟᱹᱲ                          | उचआᱹड़
उचह                                 | ᱩᱪᱷ                            | उचह
उचहआ                                | ᱩᱪᱷᱟ                           | उचहआ
उचहआᱹन                              | ᱩᱪᱷᱟᱹᱱ                         | उचहआᱹन
उज                                  | ᱩᱡ                             | उज
उजहआ                                | ᱩᱡᱷᱟ                           | उजहआ
उज्                                 | ᱩᱡᱽ                            | उज्
उठ                                  | ᱵᱮᱨᱮᱫ                          | बएरएद
उठअर                                | ᱩᱴᱚᱨ                           | उठअर
उठआर                                | ᱩᱴᱟᱨ                           | उठआर
उठइ                                 | ᱩᱴᱤ                            | उठइ
उठइए                                | ᱵᱮᱨᱮᱫ ᱵᱤᱱ                      | बएरएद बइन
उठई                                 | ᱵᱮᱨᱮᱫ ᱠᱮᱫᱼᱟ                    | बएरएद कएद-आ
उठउ                                 | ᱩᱴᱩ                            | उठउ
उठए                                 | ᱵᱮᱨᱮᱫ ᱠᱮᱫ ᱠᱚ                   | बएरएद कएद कअ
उठएंगे                              | ᱵᱮᱨᱮᱫᱼᱟᱵᱚ                      | बएरएद-आबअ
उठएगा                               | ᱵᱮᱨᱮᱫᱼᱟᱭ                       | बएरएद-आय
उठएगी                               | ᱵᱮᱨᱮᱫᱼᱟᱭ                       | बएरएद-आय
उठओ                                 | ᱵᱮᱨᱮᱫ ᱢᱮ                       | बएरएद मए
उठकर                                | ᱵᱮᱨᱮᱫ ᱠᱟᱛᱮ                     | बएरएद कआतए
उठता                                | ᱵᱮᱨᱮᱫᱜ                         | बएरएदग
उठता है                             | ᱵᱮᱨᱮᱫ ᱠᱟᱱᱟᱭ                    | बएरएद कआनआय
उठती                                | ᱵᱮᱨᱮᱫᱜ                         | बएरएदग
उठती है                             | ᱵᱮᱨᱮᱫ ᱠᱟᱱᱟᱭ                    | बएरएद कआनआय
उठते                                | ᱵᱮᱨᱮᱫᱜ ᱠᱚ                      | बएरएदग कअ
उठते हैं                            | ᱵᱮᱨᱮᱫ ᱠᱟᱱᱟᱠᱚ                   | बएरएद कआनआकअ
उठना                                | ᱵᱮᱨᱮᱫ                          | बएरएद
उठने                                | ᱵᱮᱨᱮᱫ ᱞᱟᱹᱜᱤᱫ                   | बएरएद लआᱹगइद
उठया                                | ᱵᱮᱨᱮᱫ ᱠᱮᱫᱼᱟ                    | बएरएद कएद-आ
उठह                                 | ᱩᱴᱷ                            | उठह
उठा                                 | ᱨᱟᱠᱟᱵ                          | रआकआब
उठाइए                               | ᱨᱟᱠᱟᱵ ᱵᱤᱱ                      | रआकआब बइन
उठाई                                | ᱨᱟᱠᱟᱵ ᱠᱮᱫᱼᱟ                    | रआकआब कएद-आ
उठाए                                | ᱨᱟᱠᱟᱵ ᱠᱮᱫ ᱠᱚ                   | रआकआब कएद कअ
उठाएंगे                             | ᱨᱟᱠᱟᱵᱼᱟᱵᱚ                      | रआकआब-आबअ
उठाएगा                              | ᱨᱟᱠᱟᱵᱼᱟᱭ                       | रआकआब-आय
उठाएगी                              | ᱨᱟᱠᱟᱵᱼᱟᱭ                       | रआकआब-आय
उठाओ                                | ᱨᱟᱠᱟᱵ ᱢᱮ                       | रआकआब मए
उठाकर                               | ᱨᱟᱠᱟᱵ ᱠᱟᱛᱮ                     | रआकआब कआतए
उठाता                               | ᱨᱟᱠᱟᱵᱜ                         | रआकआबग
उठाता है                            | ᱨᱟᱠᱟᱵ ᱠᱟᱱᱟᱭ                    | रआकआब कआनआय
उठाती                               | ᱨᱟᱠᱟᱵᱜ                         | रआकआबग
उठाती है                            | ᱨᱟᱠᱟᱵ ᱠᱟᱱᱟᱭ                    | रआकआब कआनआय
उठाते                               | ᱨᱟᱠᱟᱵᱜ ᱠᱚ                      | रआकआबग कअ
उठाते हैं                           | ᱨᱟᱠᱟᱵ ᱠᱟᱱᱟᱠᱚ                   | रआकआब कआनआकअ
उठाना                               | ᱨᱟᱠᱟᱵ                          | रआकआब
उठाने                               | ᱨᱟᱠᱟᱵ ᱞᱟᱹᱜᱤᱫ                   | रआकआब लआᱹगइद
उठाया                               | ᱨᱟᱠᱟᱵ ᱠᱮᱫᱼᱟ                    | रआकआब कएद-आ
उठाा                                | ᱨᱟᱠᱟᱵ ᱠᱮᱫᱼᱟ                    | रआकआब कएद-आ
उठाी                                | ᱨᱟᱠᱟᱵ ᱠᱮᱫᱼᱟ                    | रआकआब कएद-आ
उठाे                                | ᱨᱟᱠᱟᱵ ᱠᱮᱫ ᱠᱚ                   | रआकआब कएद कअ
उठी                                 | ᱵᱮᱨᱮᱫ ᱠᱮᱫᱼᱟ                    | बएरएद कएद-आ
उठे                                 | ᱵᱮᱨᱮᱫ ᱠᱮᱫ ᱠᱚ                   | बएरएद कएद कअ
उठो                                 | ᱵᱮᱨᱮᱫ ᱢᱮ                       | बएरएद मए
उड                                  | ᱩᱰ                             | उड
उड़                                 | ᱩᱲ                             | उड़
उड़आ                                | ᱩᱲᱟ                            | उड़आ
उडआᱹग                               | ᱩᱰᱟᱹᱜ                          | उडआᱹग
उडआᱹन                               | ᱩᱰᱟᱹᱱ                          | उडआᱹन
उडआᱹव                               | ᱩᱰᱟᱹᱣ                          | उडआᱹव
उडउक                                | ᱩᱰᱩᱠ                           | उडउक
उड़उब                               | ᱩᱲᱩᱵ                           | उड़उब
उडहआᱹव                              | ᱩᱰᱷᱟᱹᱣ                         | उडहआᱹव
उत                                  | ᱩᱛ                             | उत
उतअर                                | ᱩᱛᱚᱨ                           | उतअर
उतआᱹर                               | ᱩᱛᱟᱹᱨ                          | उतआᱹर
उतउ                                 | ᱩᱛᱩ                            | उतउ
उतत                                 | ᱩᱛᱛ                            | उतत
उततअर                               | ᱩᱛᱛᱚᱨ                          | उततअर
उततअरआकहअंड                         | ᱩᱛᱛᱚᱨᱟᱠᱷᱚᱸᱰ                    | उततअरआकहअंड
उतनआᱹव                              | ᱩᱛᱱᱟᱹᱣ                         | उतनआᱹव
उतरअ                                | ᱩᱛᱨᱚ                           | उतरअ
उतह                                 | ᱩᱛᱷ                            | उतह
उतहनआᱹव                             | ᱩᱛᱷᱱᱟᱹᱣ                        | उतहनआᱹव
उत्तर                               | ᱛᱮᱞᱟ                           | तएलआ
उत्तर दिशा                          | ᱩᱛᱛᱟᱹᱨ ᱥᱮᱫ                     | उततआᱹर सएद
उत्तर दो                            | ᱛᱮᱞᱟ ᱮᱢ ᱢᱮ                     | तएलआ एम मए
उद                                  | ᱩᱫ                             | उद
उदअय                                | ᱩᱫᱚᱭ                           | उदअय
उदअयपउर                             | ᱩᱫᱚᱭᱯᱩᱨ                        | उदअयपउर
उदउग                                | ᱩᱫᱩᱜ                           | उदउग
उदउगइज                              | ᱩᱫᱩᱜᱤᱡ                         | उदउगइज
उदर                                 | ᱞᱟᱡ                            | लआज
उद्                                 | ᱩᱫᱽ                            | उद्
उद्ग                                | ᱩᱫᱽᱜ                           | उद्ग
उद्गआᱹव                             | ᱩᱫᱽᱜᱟᱹᱣ                        | उद्गआᱹव
उन                                  | ᱩᱱ                             | उन
उनआ                                 | ᱩᱱᱟ                            | उनआ
उनआᱹग                               | ᱩᱱᱟᱹᱜ                          | उनआᱹग
उनइ                                 | ᱩᱱᱤ                            | उनइ
उनइदअ                               | ᱩᱱᱤᱫᱚ                          | उनइदअ
उनइय                                | ᱩᱱᱤᱭ                           | उनइय
उनइयअन                              | ᱩᱱᱤᱭᱚᱱ                         | उनइयअन
उनइयआग                              | ᱩᱱᱤᱭᱟᱜ                         | उनइयआग
उनइयइज                              | ᱩᱱᱤᱭᱤᱡ                         | उनइयइज
उनइरएन                              | ᱩᱱᱤᱨᱮᱱ                         | उनइरएन
उनउ                                 | ᱩᱱᱩ                            | उनउ
उनउदउग                              | ᱩᱱᱩᱫᱩᱜ                         | उनउदउग
उनउय                                | ᱩᱱᱩᱭ                           | उनउय
उनउसउल                              | ᱩᱱᱩᱥᱩᱞ                         | उनउसउल
उनकइन                               | ᱩᱱᱠᱤᱱ                          | उनकइन
उनकउ                                | ᱩᱱᱠᱩ                           | उनकउ
उनकउवआग                             | ᱩᱱᱠᱩᱣᱟᱜ                        | उनकउवआग
उनका                                | ᱩᱱᱠᱩᱣᱟᱜ                        | उनकउवआग
उनकी                                | ᱩᱱᱠᱩᱣᱟᱜ                        | उनकउवआग
उनके                                | ᱩᱱᱠᱩᱣᱟᱜ                        | उनकउवआग
उनको                                | ᱩᱱᱠᱩ                           | उनकउ
उनचास                               | ᱯᱩᱱ ᱜᱮᱞ ᱟᱨᱮ                    | पउन गएल आरए
उनठ                                 | ᱩᱱᱴ                            | उनठ
उनड                                 | ᱩᱱᱰ                            | उनड
उनतालीस                             | ᱯᱮ ᱜᱮᱞ ᱟᱨᱮ                     | पए गएल आरए
उनतीस                               | ᱵᱟᱨ ᱜᱮᱞ ᱟᱨᱮ                    | बआर गएल आरए
उनरए                                | ᱩᱱᱨᱮ                           | उनरए
उनसइल                               | ᱩᱱᱥᱤᱞ                          | उनसइल
उनसठ                                | ᱢᱚᱬᱮ ᱜᱮᱞ ᱟᱨᱮ                   | मअणए गएल आरए
उनहत्तर                             | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨᱮ                  | तउरउय गएल आरए
उन्नीस                              | ᱜᱮᱞ ᱟᱨᱮ                        | गएल आरए
उन्यासी                             | ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨᱮ                   | एयआय गएल आरए
उन्हें                              | ᱩᱱᱠᱩ                           | उनकउ
उप                                  | ᱩᱯ                             | उप
उपअज                                | ᱩᱯᱚᱡ                           | उपअज
उपआ                                 | ᱩᱯᱟ                            | उपआ
उपइ                                 | ᱩᱯᱤ                            | उपइ
उपउर                                | ᱩᱯᱩᱨ                           | उपउर
उपउरउम                              | ᱩᱯᱩᱨᱩᱢ                         | उपउरउम
उपरउम                               | ᱩᱯᱨᱩᱢ                          | उपरउम
उब                                  | ᱩᱵ                             | उब
उबअन                                | ᱩᱵᱚᱱ                           | उबअन
उब्                                 | ᱩᱵᱽ                            | उब्
उम                                  | ᱩᱢ                             | उम
उमअर                                | ᱩᱢᱚᱨ                           | उमअर
उमआ                                 | ᱩᱢᱟ                            | उमआ
उमआन                                | ᱩᱢᱟᱱ                           | उमआन
उमआलआ                               | ᱩᱢᱟᱞᱟ                          | उमआलआ
उमइ                                 | ᱩᱢᱤ                            | उमइ
उमउल                                | ᱩᱢᱩᱞ                           | उमउल
उमएर                                | ᱩᱢᱮᱨ                           | उमएर
उम्मीद                              | ᱟᱥᱟ                            | आसआ
उय                                  | ᱩᱭ                             | उय
उयआरइ                               | ᱩᱭᱟᱨᱤ                          | उयआरइ
उयए                                 | ᱩᱭᱮ                            | उयए
उयएठ                                | ᱩᱭᱮᱴ                           | उयएठ
उयहआर                               | ᱩᱭᱦᱟᱨ                          | उयहआर
उयहआᱹर                              | ᱩᱭᱦᱟᱹᱨ                         | उयहआᱹर
उर                                  | ᱩᱨ                             | उर
उरआ                                 | ᱩᱨᱟ                            | उरआ
उरइ                                 | ᱩᱨᱤ                            | उरइ
उरइयआᱹ                              | ᱩᱨᱤᱭᱟᱹ                         | उरइयआᱹ
उरउ                                 | ᱩᱨᱩ                            | उरउ
उरउम                                | ᱩᱨᱩᱢ                           | उरउम
उरग                                 | ᱩᱨᱜ                            | उरग
उरगआᱹल                              | ᱩᱨᱜᱟᱹᱞ                         | उरगआᱹल
उरजआ                                | ᱩᱨᱡᱟ                           | उरजआ
उरदउ                                | ᱩᱨᱫᱩ                           | उरदउ
उल                                  | ᱩᱞ                             | उल
उलआ                                 | ᱩᱞᱟ                            | उलआ
उलआर                                | ᱩᱞᱟᱨ                           | उलआर
उलइ                                 | ᱩᱞᱤ                            | उलइ
उलउ                                 | ᱩᱞᱩ                            | उलउ
उलठ                                 | ᱩᱞᱴ                            | उलठ
उल्लू                               | ᱠᱳᱠᱳ                           | कओकओ
उव                                  | ᱩᱣ                             | उव
उवआ                                 | ᱩᱣᱟ                            | उवआ
उवआन                                | ᱩᱣᱟᱱ                           | उवआन
उवआर                                | ᱩᱣᱟᱨ                           | उवआर
उवआरइ                               | ᱩᱣᱟᱨᱤ                          | उवआरइ
उवआल                                | ᱩᱣᱟᱞ                           | उवआल
उवआᱹ                                | ᱩᱣᱟᱹ                           | उवआᱹ
उवआᱹन                               | ᱩᱣᱟᱹᱱ                          | उवआᱹन
उस                                  | ᱩᱥ                             | उस
उसअर                                | ᱩᱥᱚᱨ                           | उसअर
उसआᱹरआ                              | ᱩᱥᱟᱹᱨᱟ                         | उसआᱹरआ
उसउल                                | ᱩᱥᱩᱞ                           | उसउल
उसका                                | ᱩᱱᱤᱭᱟᱜ                         | उनइयआग
उसकी                                | ᱩᱱᱤᱭᱟᱜ                         | उनइयआग
उसके                                | ᱩᱱᱤᱭᱟᱜ                         | उनइयआग
उसको                                | ᱩᱱᱤ                            | उनइ
