PalashSetu Complete Hindi to Santali Word List
===============================================
Total entries: 7503
Hand-curated Hindi->Santali pairs: 7503
AI4Bharat model Ol Chiki tokens added: 0
AI4Bharat raw model tokens (Ol Chiki): 5448
Unique clean root words from model: 4597

Hindi/Phonetic Source               | Santali (Ol Chiki)          | Pronunciation (Devanagari)
----------------------------------------------------------------------------------------------------
-आ                                  | ᱼᱟ                             | -आ
-आग                                 | ᱼᱟᱜ                            | -आग
-आय                                 | ᱼᱟᱭ                            | -आय
-ए                                  | ᱼᱮ                             | -ए
-कअ                                 | ᱼᱠᱚ                            | -कअ
-ग                                  | ᱼᱜ                             | -ग
-ज                                  | ᱼᱡ                             | -ज
-प                                  | ᱼᱯ                             | -प
-पआ                                 | ᱼᱯᱟ                            | -पआ
-बआ                                 | ᱼᱵᱟ                            | -बआ
-म                                  | ᱼᱢ                             | -म
-मआ                                 | ᱼᱢᱟ                            | -मआ
-स                                  | ᱼᱥ                             | -स
-सउपउर                              | ᱼᱥᱩᱯᱩᱨ                         | -सउपउर
61                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱤᱫ                  | तउरउय गएल मइद
62                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ                  | तउरउय गएल बआर
63                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱮ                   | तउरउय गएल पए
64                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱩᱱ                  | तउरउय गएल पउन
65                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱚᱬᱮ                 | तउरउय गएल मअणए
66                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ                | तउरउय गएल तउरउय
67                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱮᱭᱟᱭ                 | तउरउय गएल एयआय
68                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱤᱨᱞ                  | तउरउय गएल इरल
69                                  | ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨᱮ                  | तउरउय गएल आरए
7                                   | ᱮᱭᱟᱭ                           | एयआय
70                                  | ᱮᱭᱟᱭ ᱜᱮᱞ                       | एयआय गएल
71                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱤᱫ                   | एयआय गएल मइद
72                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱵᱟᱨ                   | एयआय गएल बआर
73                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱮ                    | एयआय गएल पए
74                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱩᱱ                   | एयआय गएल पउन
75                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ                  | एयआय गएल मअणए
76                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ                 | एयआय गएल तउरउय
77                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ                  | एयआय गएल एयआय
78                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱤᱨᱞ                   | एयआय गएल इरल
79                                  | ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨᱮ                   | एयआय गएल आरए
8                                   | ᱤᱨᱞ                            | इरल
80                                  | ᱤᱨᱞ ᱜᱮᱞ                        | इरल गएल
81                                  | ᱤᱨᱞ ᱜᱮᱞ ᱢᱤᱫ                    | इरल गएल मइद
82                                  | ᱤᱨᱞ ᱜᱮᱞ ᱵᱟᱨ                    | इरल गएल बआर
83                                  | ᱤᱨᱞ ᱜᱮᱞ ᱯᱮ                     | इरल गएल पए
84                                  | ᱤᱨᱞ ᱜᱮᱞ ᱯᱩᱱ                    | इरल गएल पउन
85                                  | ᱤᱨᱞ ᱜᱮᱞ ᱢᱚᱬᱮ                   | इरल गएल मअणए
86                                  | ᱤᱨᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ                  | इरल गएल तउरउय
87                                  | ᱤᱨᱞ ᱜᱮᱞ ᱮᱭᱟᱭ                   | इरल गएल एयआय
88                                  | ᱤᱨᱞ ᱜᱮᱞ ᱤᱨᱞ                    | इरल गएल इरल
89                                  | ᱤᱨᱞ ᱜᱮᱞ ᱟᱨᱮ                    | इरल गएल आरए
9                                   | ᱟᱨᱮ                            | आरए
90                                  | ᱟᱨᱮ ᱜᱮᱞ                        | आरए गएल
91                                  | ᱟᱨᱮ ᱜᱮᱞ ᱢᱤᱫ                    | आरए गएल मइद
92                                  | ᱟᱨᱮ ᱜᱮᱞ ᱵᱟᱨ                    | आरए गएल बआर
93                                  | ᱟᱨᱮ ᱜᱮᱞ ᱯᱮ                     | आरए गएल पए
94                                  | ᱟᱨᱮ ᱜᱮᱞ ᱯᱩᱱ                    | आरए गएल पउन
95                                  | ᱟᱨᱮ ᱜᱮᱞ ᱢᱚᱬᱮ                   | आरए गएल मअणए
96                                  | ᱟᱨᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ                  | आरए गएल तउरउय
97                                  | ᱟᱨᱮ ᱜᱮᱞ ᱮᱭᱟᱭ                   | आरए गएल एयआय
98                                  | ᱟᱨᱮ ᱜᱮᱞ ᱤᱨᱞ                    | आरए गएल इरल
99                                  | ᱟᱨᱮ ᱜᱮᱞ ᱟᱨᱮ                    | आरए गएल आरए
ंक                                  | ᱸᱠ                             | ंक
ंग                                  | ᱸᱜ                             | ंग
ंगआ                                 | ᱸᱜᱟ                            | ंगआ
ंग्                                 | ᱸᱜᱽ                            | ंग्
ंच                                  | ᱸᱪ                             | ंच
ंज                                  | ᱸᱡ                             | ंज
ंज्                                 | ᱸᱡᱽ                            | ंज्
ंठ                                  | ᱸᱴ                             | ंठ
ंड                                  | ᱸᱰ                             | ंड
ंडआ                                 | ᱸᱰᱟ                            | ंडआ
ंडआᱹ                                | ᱸᱰᱟᱹ                           | ंडआᱹ
ंडए                                 | ᱸᱰᱮ                            | ंडए
ंत                                  | ᱸᱛ                             | ंत
ंद                                  | ᱸᱫ                             | ंद
ंद्                                 | ᱸᱫᱽ                            | ंद्
ंय                                  | ᱸᱭ                             | ंय
ंव                                  | ᱸᱣ                             | ंव
ंस                                  | ᱸᱥ                             | ंस
ःग                                  | ᱺᱜ                             | ःग
ःगइ                                 | ᱺᱜᱤ                            | ःगइ
ःडइ                                 | ᱺᱰᱤ                            | ःडइ
अ-आ                                 | ᱚᱼᱟ                            | अ-आ
अं                                  | ᱚᱸ                             | अं
अंकगणित                             | ᱮᱞᱠᱷᱟ                          | एलकहआ
अंग                                 | ᱚᱸᱜ                            | अंग
अंगुली                              | ᱠᱟᱹᱴᱩᱵ                         | कआᱹठउब
अंगूठा                              | ᱮᱸᱜᱟ ᱠᱟᱹᱴᱩᱵ                    | एंगआ कआᱹठउब
अंगूर                               | ᱟᱝᱜᱩᱨ                          | आङगउर
अंग्रेजी                            | ᱤᱝᱨᱮᱡᱤ                         | इङरएजइ
अंज                                 | ᱚᱸᱡ                            | अंज
अंज्                                | ᱚᱸᱡᱽ                           | अंज्
अंड                                 | ᱚᱸᱰ                            | अंड
अंडए                                | ᱚᱸᱰᱮ                           | अंडए
अंडएन                               | ᱚᱸᱰᱮᱱ                          | अंडएन
अंडएनआग                             | ᱚᱸᱰᱮᱱᱟᱜ                        | अंडएनआग
अंतिम                               | ᱢᱩᱪᱟᱹᱫ                         | मउचआᱹद
अंदर                                | ᱵᱷᱤᱛᱨᱤ                         | बहइतरइ
अंद्                                | ᱚᱸᱫᱽ                           | अंद्
अक                                  | ᱚᱠ                             | अक
अकअ                                 | ᱚᱠᱚ                            | अकअ
अकअय                                | ᱚᱠᱚᱭ                           | अकअय
अकआ                                 | ᱚᱠᱟ                            | अकआ
अकआरए                               | ᱚᱠᱟᱨᱮ                          | अकआरए
अकइ                                 | ᱚᱠᱤ                            | अकइ
अकठ                                 | ᱚᱠᱴ                            | अकठ
अकठअबअर                             | ᱚᱠᱴᱚᱵᱚᱨ                        | अकठअबअर
अकठओबअर                             | ᱚᱠᱴᱳᱵᱚᱨ                        | अकठओबअर
अकतअ                                | ᱚᱠᱛᱚ                           | अकतअ
अकतअरए                              | ᱚᱠᱛᱚᱨᱮ                         | अकतअरए
अकतए                                | ᱚᱠᱛᱮ                           | अकतए
अकस                                 | ᱚᱠᱥ                            | अकस
अकह                                 | ᱚᱠᱷ                            | अकह
अक्षत                               | ᱪᱟᱣᱞᱮ                          | चआवलए
अग                                  | ᱚᱜ                             | अग
अग-आ                                | ᱚᱜᱼᱟ                           | अग-आ
अगअग                                | ᱚᱜᱚᱜ                           | अगअग
अगअड़                               | ᱚᱜᱚᱲ                           | अगअड़
अगअर                                | ᱚᱜᱚᱨ                           | अगअर
अगर                                 | ᱡᱩᱫᱤ                           | जउदइ
अग्                                 | ᱚᱜᱽ                            | अग्
अग्नि                               | ᱥᱮᱸᱜᱮᱞ                         | सएंगएल
अङ                                  | ᱚᱝ                             | अङ
अङग                                 | ᱚᱝᱜ                            | अङग
अङगआ                                | ᱚᱝᱜᱟ                           | अङगआ
अच                                  | ᱚᱪ                             | अच
अचअ                                 | ᱚᱪᱚ                            | अचअ
अचअग                                | ᱚᱪᱚᱜ                           | अचअग
अचअय                                | ᱚᱪᱚᱭ                           | अचअय
अज                                  | ᱚᱡ                             | अज
अजअन                                | ᱚᱡᱚᱱ                           | अजअन
अजअय                                | ᱚᱡᱚᱭ                           | अजअय
अजआ                                 | ᱚᱡᱟ                            | अजआ
अजइ                                 | ᱚᱡᱤ                            | अजइ
अजए                                 | ᱚᱡᱮ                            | अजए
अज्                                 | ᱚᱡᱽ                            | अज्
अञचअल                               | ᱚᱧᱪᱚᱞ                          | अञचअल
अट्ठाईस                             | ᱵᱟᱨ ᱜᱮᱞ ᱤᱨᱞ                    | बआर गएल इरल
अट्ठानवे                            | ᱟᱨᱮ ᱜᱮᱞ ᱤᱨᱞ                    | आरए गएल इरल
